央视频道,#genre#
CCTV1 综合,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV2 财经,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV3 综艺,http://live.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV4 中文国际,http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV5 体育,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV6 电影,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV7 国防军事,http://live.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV8 电视剧,http://live.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV9 纪录,http://live.cooltv.top/tv/aishang.php?id=cctv9hd
CCTV10 科教,http://live.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV11 戏曲,http://live.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV12 社会与法,http://live.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV13 新闻,http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV14 少儿,http://live.cooltv.top/tv/aishang.php?id=cctv14hd
CCTV15 音乐,http://live.cooltv.top/tv/aishang.php?id=cctv15hd
CCTV16 奥林匹克,http://live.cooltv.top/tv/aishang.php?id=cctv16hd
CCTV17 农业农村,http://live.cooltv.top/tv/aishang.php?id=cctv17hd
CCTV1 综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV4 中文国际,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4 中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV5 体育,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5+ 体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV8 电视剧,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV9 纪录,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV10 科教,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV13 新闻,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV15 音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV16 奥林匹克,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?


香港,#genre#
凤凰资讯,http://107.151.203.111:2209/135/hk.php?id=fhzx
凤凰资讯,http://lcx-olt.8866.org:8181/tsfile/live/1072_1.m3u8
凤凰香港,http://kkwk999.top/fh.php?id=fhhk
凤凰香港,http://113.117.74.10:8081/hls/38/index.m3u8
凤凰香港,http://129fy28039.zicp.fun:8181/tsfile/live/1207_1.m3u8
凤凰香港,http://lcx-olt.8866.org:8181/tsfile/live/1071_1.m3u8
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://r.jdshipin.com/0Rp07
翡翠台,https://dispatch.ulivetv.net/v/live/ccns0yuvkzpc.m3u8?stream_id=ccns0yuvkzpc&timestamp=1686272589&rand=pj9N0CE1NQ&uuid=9b647b3816b2a66a&from=web&sign=252ae84528559cdc6a20b2650d802188
翡翠台,https://dispatch.ulivetv.net/v/live/ccns0yuvkzpc.m3u8?stream_id=ccns0yuvkzpc&timestamp=1686312646&rand=hPJgZ3EFou&uuid=9b647b3816b2a66a&from=web&sign=d3f919309615a6398f9d278153ee5690
翡翠台,http://113.117.74.15:8081/hls/67/index.m3u8
翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
翡翠台,http://113.117.74.10:8081/hls/67/index.m3u8
翡翠台,http://pull-l3-cny.douyincdn.com/live/I8KKIHHHI5845884UUIOHHYHTV.flv
翡翠台,http://flv.mp4cdn.live/gt-key=85IUHH9OIYUFFJIJYRGDW8802.php?id=2
翡翠台,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxA5oJl8b5Icz-0MXK7POxcc/ts
翡翠台,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxCgMBzU9XfDMGLwaGxto_X4/ts
无线新闻,https://dispatch.ulivetv.net/v/live/ccns1uzk2bwg.m3u8?stream_id=ccns1uzk2bwg&timestamp=1686276774&rand=8TEOYmNn7s&uuid=9b647b3816b2a66a&from=web&sign=7ac7590c5e773941963ee188ef367054
无线新闻,http://pull-l3-cny.douyincdn.com/live/78625566800365445000YHTV.flv
无线新闻,https://dispatch.ulivetv.net/v/live/ccns1uzk2bwg.m3u8?stream_id=ccns1uzk2bwg&timestamp=1686312720&rand=HIPVSHSf0B&uuid=9b647b3816b2a66a&from=web&sign=4859e57314ef365b4b28bcd602d53309
无线新闻,http://flv.mp4cdn.live/gt-key=85IUHH9OIYUFFJIJYRGDW8802.php?id=13
J2,https://dispatch.ulivetv.net/v/live/ccns1caueri8.m3u8?stream_id=ccns1caueri8&timestamp=1686272799&rand=6dyXTNoJdG&uuid=9b647b3816b2a66a&from=web&sign=50cae9aee7b5e02e178c22e2becd0262
